번호,진단축,진단축명,단계,단계명,분기계열,역채점,매칭축_매핑,문항텍스트
Q173,JOB,직무 선호,3,상담 정밀형,BIZ,,"BIZ=1.5, ACC=0.5, INDUST=0.5",경영관리사·마케팅 전문가·경영컨설턴트로 일하고 싶다.
Q174,JOB,직무 선호,3,상담 정밀형,BIZ,,"ACC=1.5, ADMIN=0.5",회계사·세무사·회계 사무원으로 일하고 싶다.
Q175,JOB,직무 선호,3,상담 정밀형,BIZ,,"SERVICE=1.5, LANG=0.5",항공 객실 승무원·열차 승무원·호텔리어로 일하고 싶다.
Q176,JOB,직무 선호,3,상담 정밀형,BIZ,,"LANG=1.5, SERVICE=0.5, BIZ=0.5",면세점·여행사·해외영업처럼 외국어 실무 직무에서 일하고 싶다.
Q177,JOB,직무 선호,3,상담 정밀형,ART,,"DESIGN=1.5, BIZ=0.5",산업디자이너·제품디자이너·실내디자이너로 일하고 싶다.
Q178,JOB,직무 선호,3,상담 정밀형,ART,,"DESIGN=1.5, CONTENT=1.0",시각디자이너·미디어 콘텐츠 디자이너로 일하고 싶다.
Q179,JOB,직무 선호,3,상담 정밀형,ART,,"BEAUTY=1.5, DESIGN=0.5, CONTENT=0.5",패션 스타일리스트·비주얼 머천다이저로 일하고 싶다.
Q180,JOB,직무 선호,3,상담 정밀형,HEALTH,,"HEALTH=1.5, EDU=0.5, BIZ=0.5",생활스포츠지도사·건강운동관리사·스포츠경영관리사로 일하고 싶다.
Q181,VAL,진로 가치,1,1차 기본,ALL,,"ACC=0.5, ADMIN=0.7, MED=0.5, EDU=0.5, ELEC=0.3",직장은 안정성이 가장 중요하다.
Q182,VAL,진로 가치,1,1차 기본,ALL,,"DESIGN=0.7, CONTENT=0.7, BEAUTY=0.5, GAME=0.5, AI=0.3",남들과 다른 창의적인 일을 하고 싶다.
Q183,VAL,진로 가치,1,1차 기본,ALL,,"BIZ=0.7, SW=0.5, AI=0.5, SEC=0.3",전문성을 인정받고 높은 소득을 얻는 것이 중요하다.
Q184,VAL,진로 가치,1,1차 기본,ALL,,"WELFARE=1.0, EDU=0.5, MED=0.5, ADMIN=0.5, HEALTH=0.3",내 일이 사회에 도움이 되는 것이 중요하다.
Q185,VAL,진로 가치,1,1차 기본,ALL,,"BIZ=0.5, CONTENT=0.7, DESIGN=0.5, BEAUTY=0.5",내 일을 스스로 결정하고 자율적으로 운영하고 싶다.
Q186,VAL,진로 가치,1,1차 기본,ALL,,"AI=0.5, SEC=0.5, SW=0.3, MED=0.5, ACC=0.3",한 분야에서 깊은 전문가로 인정받고 싶다.
Q187,VAL,진로 가치,1,1차 기본,ALL,,"SERVICE=0.7, LANG=0.5, BIZ=0.3",다양한 사람을 만나고 새로운 경험을 할 수 있는 직업이 좋다.
Q188,VAL,진로 가치,1,1차 기본,ALL,,"CIVIL=0.5, MECH=0.5, BEAUTY=0.5, DESIGN=0.3, HEALTH=0.3",내가 만든 결과물이 눈에 보이는 것이 중요하다.
Q189,VAL,진로 가치,2,2차 심화,IT,,"AI=0.5, GAME=0.5, SW=0.3",최신 기술을 빠르게 따라잡고 끊임없이 새로 배우는 환경이 좋다.
Q190,VAL,진로 가치,2,2차 심화,BIZ,,"BIZ=0.5, INDUST=0.5",팀을 이끌고 성과로 평가받는 환경이 좋다.
Q191,VAL,진로 가치,2,2차 심화,HUM,,"WELFARE=0.7, EDU=0.5, MED=0.3",정서적 보람을 느낄 수 있는 일이 소득보다 중요하다.
Q192,VAL,진로 가치,2,2차 심화,ART,,"CONTENT=0.7, DESIGN=0.5, BEAUTY=0.5",내 작품·결과물에 내 이름이 남는 일이 매력적이다.
Q193,VAL,진로 가치,3,상담 정밀형,ALL,,"ADMIN=0.7, MED=0.5, ACC=0.5",정해진 시간 안에 퇴근하고 사생활이 보장되는 직장이 좋다.
Q194,VAL,진로 가치,3,상담 정밀형,ALL,Y,"ADMIN=0.7, ACC=0.3, EDU=0.3",매일 새로운 도전이 있는 환경보다 익숙한 환경이 편안하다.
Q195,VAL,진로 가치,3,상담 정밀형,ALL,,"BIZ=0.5, SERVICE=0.3, LANG=0.5",해외 출장이나 외국에서 일하는 기회가 있다면 좋겠다.
Q196,VAL,진로 가치,3,상담 정밀형,ALL,,"INDUST=0.5, MECH=0.3, ADMIN=0.3, ACC=0.3",큰 회사에 소속되어 체계적으로 일하고 싶다.
Q197,VAL,진로 가치,3,상담 정밀형,ALL,,"BEAUTY=0.5, CONTENT=0.5, DESIGN=0.3",작은 1인 기업이나 프리랜서 형태로 자유롭게 일하고 싶다.
Q198,VAL,진로 가치,3,상담 정밀형,ALL,,"WELFARE=0.7, EDU=0.5",직장 동료들과 가족 같은 분위기에서 일하는 것이 중요하다.
Q199,VAL,진로 가치,3,상담 정밀형,ALL,,"SW=0.5, AI=0.5, DESIGN=0.3",결과만 좋다면 출퇴근 시간이 자유로운 곳이 좋다.
Q200,VAL,진로 가치,3,상담 정밀형,ALL,,"ADMIN=0.5, MED=0.3, EDU=0.3",정년이 보장되고 연금이 잘 나오는 직장이 가장 매력적이다.
Q201,VAL,진로 가치,3,상담 정밀형,ALL,,"BIZ=0.7, ACC=0.5, SW=0.3",30대 안에 본인 사업을 시작해 보고 싶다.
Q202,VAL,진로 가치,3,상담 정밀형,ALL,,"CONTENT=0.5, DESIGN=0.5, BEAUTY=0.5",남들이 '대단하다'고 말해주는 일이 보람의 큰 부분이다.
Q203,VAL,진로 가치,3,상담 정밀형,ALL,,"WELFARE=0.7, MED=0.5, EDU=0.3, ADMIN=0.3",사회적 약자를 돕는 일에 깊은 의미를 느낀다.
Q204,VAL,진로 가치,3,상담 정밀형,ALL,,"SW=0.5, AI=0.5, GAME=0.5, SEC=0.3",어떤 분야든 기술과 데이터가 미래에 더 중요해질 것이라 본다.
Q205,VAL,진로 가치,3,상담 정밀형,ALL,,"BEAUTY=0.5, DESIGN=0.5, CONTENT=0.5",트렌드를 빠르게 읽고 따라가는 능력이 직업에 큰 무기라고 생각한다.
Q206,VAL,진로 가치,3,상담 정밀형,ALL,,"HEALTH=0.5, MED=0.5, WELFARE=0.3",건강 관련 분야의 수요는 앞으로 계속 늘 것이라 생각한다.
Q207,VAL,진로 가치,3,상담 정밀형,ALL,,"CIVIL=0.5, MECH=0.3, INDUST=0.3, ELEC=0.3",전통적인 산업 분야도 지속적으로 사람이 필요하다고 본다.
Q208,VAL,진로 가치,3,상담 정밀형,ALL,,"LANG=0.7, SERVICE=0.3",한국을 넘어 아시아·세계 시장에서 일할 기회를 만들고 싶다.
Q209,VAL,진로 가치,3,상담 정밀형,ALL,,"GAME=0.5, DESIGN=0.3, CONTENT=0.5",K-콘텐츠가 세계적으로 통하는 시대를 직접 경험하고 싶다.
Q210,VAL,진로 가치,3,상담 정밀형,ALL,,"EDU=0.5, WELFARE=0.5, HEALTH=0.3, MED=0.3",AI가 발달해도 사람과 사람이 만나야 하는 직업의 가치는 더 커진다고 본다.
Q211,CONF,선택 확신도,1,1차 기본,ALL,,,나는 어떤 학과에 가야 할지에 대해 확신이 있다.
Q212,CONF,선택 확신도,1,1차 기본,ALL,,,내가 어떤 일을 잘하는지 또래보다 잘 알고 있다.
Q213,CONF,선택 확신도,1,1차 기본,ALL,Y,,지금 학과를 정하라고 하면 막연한 느낌이 든다.
Q214,CONF,선택 확신도,1,1차 기본,ALL,,,내 진로 방향에 대해 가족·친구와 충분히 이야기해 보았다.
Q215,CONF,선택 확신도,1,1차 기본,ALL,,,1지망 학과가 마음에 들지 않아도 차선책이 있다.
Q216,CONF,선택 확신도,2,2차 심화,ALL,,,내 적성과 학과 교육과정이 잘 맞을지에 대해 어느 정도 알아보았다.
Q217,CONF,선택 확신도,2,2차 심화,ALL,Y,,학과를 정하는 일이 부담스러워 자꾸 미루게 된다.
Q218,CONF,선택 확신도,3,상담 정밀형,ALL,,,지원 가능한 학과의 졸업 후 진로를 구체적으로 알고 있다.
Q219,CONF,선택 확신도,3,상담 정밀형,ALL,,,지원하려는 학과에서 어떤 자격증이 필요한지 알고 있다.
Q220,CONF,선택 확신도,3,상담 정밀형,ALL,Y,,결정해도 나중에 후회할 것 같다는 생각이 자주 든다.
Q221,CONF,선택 확신도,3,상담 정밀형,ALL,,,내가 좋아하는 일과 잘하는 일이 일치하는 편이다.
Q222,CONF,선택 확신도,3,상담 정밀형,ALL,Y,,주변 친구들이 진로를 정해가는 것을 보면 조급해진다.
Q223,CONF,선택 확신도,3,상담 정밀형,ALL,,,지원할 학과의 교수님이나 선배에게 직접 물어볼 의향이 있다.
Q224,CONF,선택 확신도,3,상담 정밀형,ALL,Y,,내 진로보다는 부모님의 의견을 따르게 될 것 같다.
Q225,CONF,선택 확신도,3,상담 정밀형,ALL,,,한번 결정한 학과는 끝까지 책임지고 다닐 자신이 있다.
Q226,NEED,상담 필요도,1,1차 기본,ALL,,,학과를 정하기 전에 진로 상담을 받고 싶다.
Q227,NEED,상담 필요도,1,1차 기본,ALL,,,내 성향과 학과 적합도에 대해 전문가의 의견을 듣고 싶다.
Q228,NEED,상담 필요도,1,1차 기본,ALL,,,각 학과의 실제 졸업 후 진로에 대한 자세한 정보가 더 필요하다.
Q229,NEED,상담 필요도,1,1차 기본,ALL,,,학과 설명회나 학과 체험 프로그램에 참여하고 싶다.
Q230,NEED,상담 필요도,1,1차 기본,ALL,,,선배들의 학과 생활·취업 후기를 직접 듣고 싶다.
Q231,NEED,상담 필요도,2,2차 심화,ALL,,,내가 고민하는 2~3개 학과를 비교해 줄 사람이 필요하다.
Q232,NEED,상담 필요도,2,2차 심화,ALL,,,졸업 후 취업·자격증 준비 방법에 대해 안내가 필요하다.
Q233,NEED,상담 필요도,3,상담 정밀형,ALL,,,학과 결정 전에 1:1 진로 상담을 신청할 의사가 있다.
Q234,NEED,상담 필요도,3,상담 정밀형,ALL,,,심리 검사·적성 검사 결과에 대한 해석 상담이 필요하다.
Q235,NEED,상담 필요도,3,상담 정밀형,ALL,,,장학금·등록금·재정 지원에 대한 정보가 필요하다.
Q236,NEED,상담 필요도,3,상담 정밀형,ALL,,,전공심화과정(학사학위)·편입학에 대한 정보가 필요하다.
Q237,NEED,상담 필요도,3,상담 정밀형,ALL,,,내 가정·경제·심리적 사정도 고려한 상담이 필요하다.
Q238,NEED,상담 필요도,3,상담 정밀형,ALL,,,학과 교육과정·시간표·수업방식에 대한 안내를 받고 싶다.
Q239,NEED,상담 필요도,3,상담 정밀형,ALL,,,공무원·자격증 등 특정 진로를 위한 학과 추천을 듣고 싶다.
Q240,NEED,상담 필요도,3,상담 정밀형,ALL,,,결정 후에도 학과 적응을 위한 후속 상담이 필요할 것 같다.
